id,corrected_output,aspect_category,ac_polarity
32935211#1468239#3,"मैं grand marnier shrimp को बहुत ज्यादा reccomend करता हूँ, यह बहुत अच्छा है।",['food'],['positive']
32944704#492723#0,"हम वहाँ गए और food को वाकई enjoy किया, बहुत शानदार food था, और service वाकई में अच्छा था।","['food', 'service']","['positive', 'positive']"
33061325#0#3,Desserts में flan और sopaipillas शामिल है।,['food'],['neutral']
35709141#1107179#2,Sushi को blocks में काटा गया जो मेरे cell phone से बड़ा था। ,['food'],['negative']
11350496#1560668#3,"Service शानदार है, मेरा soup हमेशा अच्छा और hot आता है। ","['service', 'food']","['positive', 'positive']"
11351625#909535#1,यह जबकि अब तक रही है और मैं भूल गया कि crepes कितना delicious हो सकता है।,['food'],['positive']
11351620#1180095#0,मैंने एक स्वादिष्ट shrimp creole खाया था।,['food'],['positive']
11351620#1180095#1,Chicken dinner सच में अच्छा था।,['food'],['positive']
32938222#1552119#1,Restaurant का decor contemporary Japanese style में सजा हुआ है।,['ambience'],['neutral']
11351620#1180095#3,लेकिन food स्वादिष्ट था।,['food'],['positive']
32464595#574909#2,"Ribs को, sizzling beef और बहुत से coconut rice के साथ couple करके आज़माएँ।",['food'],['positive']
32893510#483382#0,इस place के बारे में सबकुछ wonderful है।,['anecdotes/miscellaneous'],['positive']
32893040#1716582#5,Avocado salad एक personal fave है।,['food'],['positive']
32893040#1716582#6,"और, honey BBQ rib tips स्वादिष्ट हैं।",['food'],['positive']
32893040#1716582#0,सबसे अच्छा Chinese food Uptown है।,['food'],['positive']
32464601#418474#1,"Atmosphere attractive, लेकिन little uncomfortable है।",['ambience'],['conflict']
32464601#418474#2,यह staff बहुत friendly है।,['service'],['positive']
33068517#482841#2,कमाल का wine list और शानदार cocktail menu है।,['food'],['positive']
33068517#482841#1,Crab cakes स्वादिष्ट है और BBQ rib बिलकुल सही था।,['food'],['positive']
32864873#471207#1,बहुत fast service के साथ छोटा restaurant है।,"['service', 'ambience']","['positive', 'neutral']"
33069536#707145#3,मेरे husband और मैं करीब 6 times यहाँ आ चुके हैं और हमें हमेशा यहाँ highest service और free desserts मिला है।,"['service', 'price']","['positive', 'positive']"
32899414#512291#0,"एक सुंदर atmosphere, drinks और/या appetizers के लिए बहुत सही है।",['ambience'],['positive']
32469157#1273114#1,वे New Jersey में best pizza बनाते हैं।,['food'],['positive']
36072604#1106889#1,मैं हाल के पिछले summer के बाद एक year के लिए गया था।,['anecdotes/miscellaneous'],['neutral']
12036269#580745#2,ऊपर के पूरे restaurant में केवल एक waiter है।,['service'],['negative']
33064238#563983#2,मैं garlic knots को भी recommend करता हूँ।,['food'],['positive']
32971013#1044651#0,अब तक का best Indian food जो मैंने खाया है।,['food'],['positive']
11351521#768768#3,आप dissapointed नहीं होंगे।,['anecdotes/miscellaneous'],['positive']
33064238#563983#0,इस place का pizza सबसे अच्छा है।,['food'],['positive']
35816071#637243#0,Culinaria Garment district का welcome addition है- area में किसी भी restaurant से बहुत अच्छा है।,['anecdotes/miscellaneous'],['positive']
32896473#439063#3,Music जो sometime मेरे taste के लिए भी थोड़ा heavy है।,['ambience'],['negative']
11350010#590580#1,Service शानदार है और बिना air के informative भी है।,['service'],['positive']
11359762#927332#1,Owner और staff एक बड़े lengths के लिए आपको comfortable feel कराने जाते हैं।,['service'],['positive']
32950061#1264345#1,Sushi हमेशा fresh और yummy और menu बहुत vary करता है।,['food'],['positive']
11359767#969393#2,"Food शानदार था - sushi अच्छा था, लेकिन cooked food ने हमें आश्चर्यचकित किया।",['food'],['positive']
33106326#864352#0,उनके dinner specials शानदार होते हैं।,['food'],['positive']
32405935#675215#0,"शानदार food, शानदार drinks, अच्छा dining atmosphere.","['food', 'ambience']","['positive', 'positive']"
32894669#1075584#1,Food portion छोटा था और average से नीचे था।,['food'],['negative']
33085669#409731#11,पीछे उन comfortable chairs में से एक में बैठिए।,['ambience'],['positive']
33070461#1496736#6,मेरा यहाँ का favs Tacos Pastor और  Tostada de Tinga है।,['food'],['positive']
35693136#561234#0,"इस bar में बस यही है - great drinks, cool atmosphere, शानदार service और delicious food.","['food', 'ambience', 'service']","['positive', 'positive', 'positive']"
32893510#483382#1,हमने lamb order किया जो पूरी तरह cooked और awesome tasted था।,['food'],['positive']
11351664#1238806#6,अच्छा food अच्छा wine बस इतना ही। ,['food'],['positive']
33070305#1312437#4,Staff बहुत ही friendly और खुशनुमा था।,['service'],['positive']
11349840#433070#0,"यह place Italian है, French नहीं।",['anecdotes/miscellaneous'],['neutral']
11478791#397331#1,"जबकि उनका kitchen food delicious है, उनका Sushi इस संसार में अलग है।",['food'],['positive']
11351664#1238806#1,"यह traditional, साधारण italian food है।",['food'],['positive']
35693081#540596#2,Sashimi  थोड़ा पतला कटा है। ,['food'],['negative']
11651062#1264882#6,मैं personally कहता हूँ अपना money save कीजिये।,['anecdotes/miscellaneous'],['negative']
"बल्कि, यह हुआ है क्योंकि एक graceless manager और एक rude bartender जो drinks के लिए 20 minutes waiting कराया, और फिर हमें chill out करने को कहा।","बल्कि, यह हुआ है क्योंकि एक graceless manager और एक rude bartender जो drinks के लिए 20 minutes wait कराया, और फिर हमें chill out करने को कहा।",['service'],['negative']
32892130#435512#1,"केवल service ही great नहीं है, बल्कि tables के चारो ओर conversation बनाना बहुत easy है क्योंकि atmosphere दोनों तरफ romantic और comfortable हो सकता है।","['service', 'ambience']","['positive', 'positive']"
11359797#469087#5,"जब dish आया यह green chillis के साथ जल रहा था, जो बिलकुल human के लिए edible नहीं था।",['food'],['negative']
11359762#927332#2,कुल मिलाकर यह New York का BEST past है। ,['anecdotes/miscellaneous'],['positive']
35698240#574381#0,हम यहाँ afternoon का performance देखते हुए पहले भी several times खा चुके हैं,['anecdotes/miscellaneous'],['neutral']
32934709#796678#1,सबकुछ बहुत cheap है।,['price'],['positive']
32894963#1707639#1,Food शानदार है और prices reasonable है।,"['food', 'price']","['positive', 'positive']"
32894963#1707639#3,"Place साफ है, और यदि आपको soul food पसंद है, तो यही वह place है।","['ambience', 'food']","['positive', 'positive']"
11350269#481079#1,यह city में मेरा Fav sports है।,['anecdotes/miscellaneous'],['positive']
11351819#985076#4,"Over priced, overrated.... दूर रहो!","['price', 'anecdotes/miscellaneous']","['negative', 'negative']"
11351819#985076#0,आप इस restaurant में मत जाओ।,['anecdotes/miscellaneous'],['negative']
32894267#698671#2,"जब से हम neighborhood में थे, हमने इसे sure आज़माने का try किया था।",['anecdotes/miscellaneous'],['neutral']
11565268#560107#2,कुल मिलकर कह सकता हूँ कि वे fantastic हैं।,['anecdotes/miscellaneous'],['positive']
33066089#490193#0,मैं dine में कई times Mammino खा चुका होऊंगा और हर बार यह better होता जायेगा।,['anecdotes/miscellaneous'],['positive']
33066089#490193#4,Definitely कुछ check out करने को है।,['anecdotes/miscellaneous'],['positive']
11639814#570590#2,Service शानदार था।,['service'],['positive']
11350141#1745557#0,मेरा friend और मैं Kips Bay movie theater जाने से पहले यहाँ pizza के लिए रुके।,['anecdotes/miscellaneous'],['neutral']
11350141#1745557#1,हम हमेशा pizza enjoy करते हैं।,['food'],['positive']
11350141#1745557#4,Service थोड़ा अच्छा है।,['service'],['positive']
32944693#1193404#0,यह place कुछ years के लिए है।,['anecdotes/miscellaneous'],['neutral']
11432442#650772#0,"Yum, chicken यहाँ शानदार है।",['food'],['positive']
36244423#1058258#3,मैं इस restaurant को highly recommend करता हूँ!!,['anecdotes/miscellaneous'],['positive']
11538980#453602#0,यह place बहुत worst था।,['anecdotes/miscellaneous'],['negative']
32891589#573560#0,मैंने यहाँ से last week order किया था।,['anecdotes/miscellaneous'],['neutral']
32938222#1552119#0,यह Brooklyn में एक अच्छा sushi restaurant है जो 86 street पर train station के ठीक नीचे located है।,['anecdotes/miscellaneous'],['positive']
32406302#615620#1,"यहाँ food बहुत शानदार था, एक treat beginning से end तक था।",['food'],['positive']
32938222#1552119#0,यह Brooklyn में एक अच्छा sushi restaurant है जो 86 street पर train station के ठीक नीचे located है।,['anecdotes/miscellaneous'],['positive']
32406302#615620#1,"यहाँ food बहुत शानदार था, एक treat beginning से end तक था।",['food'],['positive']
32882616#562969#0,मैं बहुत से magazines में इसके बारे में सुनने के बाद try out करने का decide किया।,['anecdotes/miscellaneous'],['neutral']
11351561#744321#0,"यह सबकुछ बिलकुल है... food, atmosphere...कमाल की kind और gracious hostess है।","['food', 'ambience', 'service']","['positive', 'positive', 'positive']"
33068635#1533725#2,Food बहुत अच्छा और service शानदार है।,"['food', 'service']","['positive', 'positive']"
33068635#1533725#2,Food बहुत अच्छा और service शानदार है।,"['food', 'service']","['positive', 'positive']"
11313316#1234433#1,मैं हमेशा एक Vietnamese Beef Noodle Soup लेता हूँ।,['food'],['neutral']
33069536#707145#1,Waiters बहुत ही friendly और helpful है और यदि आप frequent आते हैं वे आपको याद करेंगे।,['service'],['positive']
35693081#540596#0,Intimate लेकिन बिलकुल friendly service के साथ attentive service और charming interior है।,"['ambience', 'service']","['positive', 'positive']"
33059931#926509#0,इस place में इस city का best sushi है।,['food'],['positive']
33059931#926509#1,उनका selection कमाल का है (rolls with crab वाकई शानदार है) ,['food'],['positive']
11349871#518230#2,"हर कोई जो वहाँ काम करता है (host, bartender, servers) बहुत helpful है।",['service'],['positive']
11349871#518230#3,और food fantastic है।,['food'],['positive']
11349871#518230#4,Favourites include: potato spinach gnocchi and the lamb.,['food'],['positive']
32935583#854234#2,Glechik के बारे में दूसरी अच्छी चीज- सबकुछ cheap है!,['price'],['positive']
35084984#412657#1,मेरे friend ने burger खाया है और मैंने ये शानदार blueberry pancakes pancakes खाया है।,['food'],['positive']
35084984#412657#2,हम अपने food से बहुत खुश थे और जबकि ज्यादा thrilled तब हुए जब हमने bill देखा।,"['food', 'price']","['positive', 'positive']"
35084984#412657#3,मैं इस restaurant में definitely वापस जाऊंगा।,['anecdotes/miscellaneous'],['positive']
15087705#871249#5,Place bilkul भी prime time के लिए ready नहीं हैं।,['anecdotes/miscellaneous'],['negative']
35700989#574718#2,मुझे lobster ravioli बहुत पसंद है।,['food'],['positive']
11661949#1709112#3,हमें नहीं पता कि हमें drink order करना चाहिए या जाना चाहिए।,['anecdotes/miscellaneous'],['neutral']
32894791#1611374#2,Neighbhorhood का spot शानदार है।,['anecdotes/miscellaneous'],['positive']
33059678#631861#2,"Crowd पुराना था और restaurant बहुत cramped है, लेकिन इसका charm old school जैसा है।",['ambience'],['conflict']
32894966#1727613#9,मेरे हिसाब से यह wonderful place है।,['anecdotes/miscellaneous'],['positive']
11558693#1436895#1,Place पर first walking करते हुए ambience शानदार लगता है।,['ambience'],['positive']
35700731#1595671#0,मैं इस weekend Kitchenette brunch के लिए गया।,['anecdotes/miscellaneous'],['neutral']
32894963#1707639#0,"इस place का publicity नहीं किया जाता है जैसे कि Sylvias Soul Food restaurant करता है, लेकिन करना चाहिए।",['anecdotes/miscellaneous'],['positive']
14336883#1094817#7,क्योंकि P Diddy ने Butter में party किया था इसका ये मतलब नहीं है कि हमें automatically impressed हो जाना चाहिए।,['anecdotes/miscellaneous'],['negative']
35714274#1076679#4,तब उन्होने किसी तरह चारों ओर raw और cold में dry और brunt crust बनाया।,['food'],['negative']
11351664#1238806#4,"यह बस अच्छा food है, कुछ ज्यादा नहीं और वही हमें चाहिए।",['food'],['positive']
33068517#482841#0,मेरी wife और मैं हाल ही में bistro में dinner के लिए visit किया और एक शानदार experience हुआ।,['anecdotes/miscellaneous'],['positive']
11351400#495795#1,SERVICE भी बहुत PERFECT है इस ITALIAN/FRENCH RESTAURANT में कुछ गलत नहीं है।,"['service', 'anecdotes/miscellaneous']","['positive', 'positive']"
11313431#524365#0,मेरे fiance और मैं हाल में city देखना चाहते थे और और एक dinner cruise भी decide किए थे।,['anecdotes/miscellaneous'],['neutral']
11546184#1465600#1,$72 Delmonico steak वापस भेजना था क्योंकि यह order के लिए नहीं पकाया गया था।,"['food', 'price']","['negative', 'negative']"
32894483#1088884#0,"Service वाकई fast और friendly, और value शानदार है।","['service', 'price']","['positive', 'positive']"
32944674#542988#0,हम food और value से बहुत impressed थे।,"['food', 'price']","['positive', 'positive']"
32944674#542988#2,आपको garlic soup अवश्य try करना चाहिए।,['food'],['positive']
32896492#738746#0,"Casablanca servces स्वादिष्ट falafel, tabouleh, humus और अन्य Mediterranean delights, जो सभी बहुत inexpensive है।","['food', 'price']","['positive', 'positive']"
11313290#1139539#0,"Bardolino के कुछ bad evenings के बाद, मैं वापस आता रहा।",['anecdotes/miscellaneous'],['conflict']
33069847#1306433#1,"Pizza's fresh, crispy, और serve के लिए तैयार बनाए गए हैं।",['food'],['positive']
32893609#708406#3,"Midtown area में बहुत से french bistros हैं, और मैं इसे wholheartedly recommend करता हूँ।",['anecdotes/miscellaneous'],['positive']
35709451#1061726#1,Staff accomodating है तय करें कि आप satisfied हैं।,['service'],['positive']
35709337#1579632#5,यह diamond ruff में 10 minute के लिए 6 train के walk के लिए बिलकुल worth है।,['anecdotes/miscellaneous'],['positive']
35708055#673129#4,Host और Hostess बहुत rude थे।,['service'],['negative']
35708055#673129#7,आप कुछ भी miss नहीं कर रहे होंगे।,['anecdotes/miscellaneous'],['negative']
11351453#683961#0,"Wait staff बहुत friendly हैं, यदि आप rude या picky नहीं हैं.......Leon में last weekend पर हमारा meal शानदार था।","['service', 'food']","['positive', 'positive']"
11351451#805713#1,Foie gras मीठा और चिपचिपा था।,['food'],['positive']
11519527#1541586#1,मैं FOOD से बहुत ही अधिक DISAPPOINTED था।,['food'],['negative']
35759841#1360876#1,"Staff arrogant है, Brooklyn के लिए prices बहुत ही ज्यादा high है।","['service', 'price']","['negative', 'negative']"
32464595#574909#0,जब food की बात होती है तो यह literally एक hot spot है।,['food'],['positive']
32892297#645108#0,Downstairs bar scene बहुत ठंडा और मज़ेदार है।,['ambience'],['positive']
35390182#756337#7,"Family की तरह feel करता हूँ, जब मैं वहाँ जाता हूँ।",['anecdotes/miscellaneous'],['positive']
13383936#420974#1,"मुझे food बस इसके owner, Da Silvano जितना अच्छा, कम expensive लगा।","['food', 'price', 'service']","['positive', 'positive', 'positive']"
11484031#1129679#3,उनके पास सभी तरह के homemade pastas हैं -- मैं gnocchi को recommend करता हूँ -- yum!,['food'],['positive']
14336883#1094817#3,"मेरा vegetable risotto जल गया था, और पूरी तरह brunt flavor में infused हो गया।",['food'],['negative']
35695422#1464305#1,क्या शानदार surprise है!,['anecdotes/miscellaneous'],['positive']
32935729#785247#8,इस place का मुख्य draw price है।,['price'],['positive']
35390148#588852#4,इस तरह की service के hope के साथ business में कैसे रहेंगे।,['service'],['negative']
32405935#675215#1,"लेकिन यहाँ का dinner कभी disappointing नहीं रहा, जबकि prices थोड़ा ज्यादा है।","['food', 'price']","['positive', 'negative']"
32895093#418997#1,"ना केवल उनके पास amazing, sandwiches, soup, pizza आदि है, लेकिन उनके homemade sorbets इस world से अलग हैं।",['food'],['positive']
35393630#1095759#1,"Homemade Guacamole, अविश्वासी entree, और सबसे amazing deserts है।",['food'],['positive']
11461396#699654#0,Sushi उचित रूप से priced और fresh है।,"['food', 'price']","['positive', 'positive']"
32408649#945413#2,Grill से सबसे अच्छी चीज़ order करने के लिए (Churrasco और Ribs) है।,['food'],['positive']
35196520#758440#0,Traditional Italian items शानदार हैं - सस्ते और आरामदायक setting में served किये गये हैं।,"['food', 'price', 'ambience']","['positive', 'positive', 'positive']"
33085669#409731#7,जहां आप iced blended mocha या hot white mocha लेते है आप बहुत ही खुश होते हैं।,['food'],['positive']
33068909#1189415#1,पिछले Tuesday एक friend के साथ late lunch के लिए।,['anecdotes/miscellaneous'],['neutral']
32894416#1193614#4,दूसरे friend को parmesan cheese के लिए 3 times पूछना पड़ा था।,['service'],['negative']
15094232#1295193#3,"Service थोड़ा slow था और portions थोड़ा छोटा था इसलिए यदि तुम hungry और rush में हो, यह place तुम्हारे लिए नहीं है।","['service', 'food', 'anecdotes/miscellaneous']","['negative', 'negative', 'negative']"
35701425#1155856#4,मुझे bar में कुछ minutes मेरे friend के लिए wait करना है।,['anecdotes/miscellaneous'],['neutral']
35816071#637243#1,"Chef Vincenzo, यदि आपको वह चाहिए तो वहाँ हमेशा हैं, एक real talent है और एक real Roman है।",['food'],['positive']
33069536#707145#4,"यदि आप कुछ great Indian food को taste करने का सोच रहे हैं और अच्छी service चाहते हैं, तो Curry Leaf पक्का visit करें।","['food', 'service']","['positive', 'positive']"
35158451#1089920#4,Quality of the meat आपके local grocery store के लगभग बराबर थी।,['food'],['negative']
32894966#1727613#2,वे smoothies और fresh juices में specialize थी।,['food'],['positive']
35714274#1076679#3,"यह सबसे पहले well done आया, और मैंने इसे politely वापस भेजा।",['food'],['negative']
11351587#1488758#7,"मैंने black roasted codfish को recommend किया, यह evening का सबसे अच्छा dish था।",['food'],['positive']
35759841#1360876#3,अपना time और money बर्बाद मत करो।,['anecdotes/miscellaneous'],['negative']
32894267#698671#3,"यह अच्छा है लेकिन, लेकिन movie book जितना अच्छा नहीं है, यह एक same analogy है।",['anecdotes/miscellaneous'],['conflict']
11624981#549489#9,यह बहुत warm experiance था।,['anecdotes/miscellaneous'],['positive']
35084984#412657#0,मैं brunch के लिए Common Stock में गया और मैं बहुत impressed हुआ था।,['anecdotes/miscellaneous'],['positive']
33069925#747092#0,"अब nikki suchi बुलायी गयी, sushi ठीक है।",['food'],['neutral']
32938828#1194079#0,एक place जो कि यह 24 hours (अधिकतर यह downtown Brooklyn में) find करना अच्छा है।,['anecdotes/miscellaneous'],['positive']
35869867#649564#0,"यह एक बहुत ही fantastic dining experience, जो मैंने उसी week में वापस किया।",['anecdotes/miscellaneous'],['positive']
11359613#884374#6,"उचित होने के साथ, food फिर भी अच्छा है और service quick है और attentive है जबकि यह usually बहुत busy है।","['food', 'service']","['positive', 'positive']"
11558693#1436895#5,मैंने Chicken Teriyaki और मेरे husband ने Garlic Shrimp की पेशकश की।,['food'],['neutral']
11558693#1436895#0,मैंने एक mall food court में बेहतर Japanese food खाया।,['food'],['negative']
32894966#1727613#10,Staff members बहुत अधिक friendly और जबकि मेरा एक drink replaced कर दिया जब मैंने इसे बाहर गिरा दिया।,['service'],['positive']
32938222#1552119#3,"Sashimi portion अधिकतर लोगों के लिए काफी बड़ा था, लेकिन मुझे ऐसे fact पसंद नहीं जो वे artifical lobster meat का उपयोग करते हैं।",['food'],['conflict']
32891589#573560#1,उनके पास wheat crusted pizza वाकई fresh और स्वादिष्ट ingredients से बना हुआ है।,['food'],['positive']
32936760#1397861#7,"Icing से यह cake बना है, यह fluffy, ज्यादा sweet नहीं, creamy और light है।",['food'],['positive']
32936760#1397861#5,अंत में 5 बजे store में time से harried staff के लिए expensive slices खरीदने के लिए आने दो। ,"['price', 'service', 'anecdotes/miscellaneous']","['negative', 'negative', 'negative']"
33085939#758010#1,हमने छोड़ने के लिए खत्म किया क्योंकि हमें पहले essentially wait staff स्वरा ignored किया गया--जबकि बाँकी का restaurant बहुत बड़ा empty था। ,"['service', 'anecdotes/miscellaneous']","['negative', 'negative']"
11351664#1238806#5,"Wine list कमाल का है, अच्छे से priced है जो बहुत से regions को cover करता है।","['food', 'price']","['positive', 'positive']"
